Timestamp[YYYY-MM-DD_HH:MM:SS.microseconds] ,Data[Bytes]
2019-10-09_15:01:58:674411,040000003000120FFFF2001901F007000602B7E025A6AC381360100000
2019-10-09_15:01:58:679404,42D6583BA48B883EB861A3BC0000000011FB1EBD101900C1200CE53BC41C17AF04149D03F0FC243A0000594125BD131F00F1B00B1863F41D8918BC0E2CE213F00000000176D82BDB1800F1200F7C32141F24CD6BF9549643E000000008A6C4BDB1800F1100EF22A4415FA6A8C052A23A3F040F138000069AC19BDD1B00F110031B59F418D9E8FC0E63A123F0000000098467BDB1700B1300F92EB0416EFF241FAB6E53E07254BA0000B24926BC81400E1A0090C66B4114BB9FC030EF483F0000000040E7A3C81300A1300D4DBB141B5E8B5C0EE11483F0107CBA000071D425BDB1800F130043BEA840A8C346BFD07CBC3D00000000C560EBEB1900E130081A49A4188D9C7C0B3F9813F000000002D20D23BC1800F02006B51AD41B8E587C03AC0F3F028D0B90000148FE7BC61300E1300D42A740F31C133CEFFD93C000000007F11ABE91700F120059AC314183E7D73FBFAD4FBE0000000062D69DBC1F2B00F130046C91B4111D880BFD8C0B3E0000000042D919BEB1700E12001AF91C41A9D49DBD97E07C3D0000000074504BEA1600F1200CDB1B4192F2423F9C9FBBBD00000000CAA3B3BDB1700F13006140C740F3B366404C9FFEBE000000001BA5C3BDA1700E1100F8B02A41EC6E5540067E9BE0000000045AEB9BDB1700F1100C6883941A896EFC1BCBA9BF000000007C1993BD91500B1A00A7B94A41C0829A40315B31BF00000000ADD5A2BCF1B00F13004BCC3241705BF3C1E856BF00000000D0B1F7BB91500E1B00152D5E41DD6697401252DBF0000000074A6263CB1800F13007550B641CCC884021D5EBF0F91EBB0000137966BD71400F1300A77BAC41C5F88E40F532BBF0A3503B00002E292CBD81300F13005238DE428FC231413B2110BF0CD3A000052C2F33C6F00612005238DE428FC2314166D572BF08092B800002183993C71600F33005238DE428FC2314116F325BF00000000C4CC8A3E71000D02005238DE428FC23141DBFC9BF00000000D95EC53E6F00E83005238DE428FC2314175F8EDBE0D8BF390000442080BCC1900713005238DE428FC23141CB4A2CBF060443B0000AAF324BB91600F13005238DE428FC2314193DD53BF0000A0FADE3C23B68CBC91500B05300
2019-10-09_15:01:58:684401,5238DE428FC23141277D53BF0000B84CE03DE3E07CBB152200F053005238DE428FC231415B2C5BBF000000001516D83CB1600F02005238DE428FC2314136FD3DBF80E6893B0000D0D33ABDB1600D1B005238DE428FC23141FE941BF0000B0D55FBD7079D6BB121E00F053005238DE428FC23141A459BEBE044DBA00004BD5FDBCD1900B13005238DE428FC2314117591BE034F5BA0000B39175BDE1A00F11005238DE428FC23141E2DF2BF0000000075FCFABC142000F12005238DE428FC23141ABA05FBF0000000038B85BC61200B03005238DE428FC23141E18F65BF0E72BB0000782A18BD91600F13005238DE428FC231413FBF68BF0802EBA0000453A0BD61300712005238DE428FC231417A20873B58A7AEBB0000C15731BD122100F13005238DE428FC231419F78243F00000000E5B086BE6F00D01005238DE428FC2314129F6A8BBFE41A0BB0000E3778E3EA1400F13005238DE428FC2314182271CBF00000000B4598E3E71000503005238DE428FC23141641531BF0968FBA48487BEECB2723DC1600B113005238DE428FC2314132AA6BE8073F3B00006F3E90BD91200912005238DE428FC231415633BBF00B8396B286BEF39953D6F00F112005238DE428FC231414A27BBE80EE03A90B1D3BE87858ABE71000E111005238DE428FC2314107FA7BDA09A43C0000A14383BC71000911005238DE428FC2314112E1E3B000000003F75CBD71000F1B005238DE428FC231417FDAC9BC4816663B000073A563D61200E12005238DE428FC231419043103F00000000C4D0B1BE71000A01005238DE428FC231419E6DB33C00000000AE772BD6F00602005238DE428FC23141A7A5373D00000000AD3F633E6F00E01005238DE428FC23141912C78BD000000001D5241BB71000602005238DE428FC23141BBC83BD00000000DED36BB71000B01005238DE428FC23141A37DB1BC00000000A6E51ABD81100E03005238DE428FC2314133B0943DC048E2BA00001C535DBD71100B32005238DE428FC23141108415BD000000008592613D71100D31005238DE428FC2314133B6FA3B68AB59BA0000625D9DBC6F00E32005238DE428FC23141F255B43C405464BB0000CF81C73D6F00932005238DE428FC231414E43D3DB0C231BB000063A482BD6F0063300
2019-10-09_15:01:58:688371,040000003000120FFFF2001B01F007000207844E733A6AC381460100000
2019-10-09_13:01:58:693399,8F242B3AA48B88BEB861A3BC0000000011FB1EBD101900C1200FF1AF4047E115C0F02DB23E0000000058B2EEBDC1900E1300AA65CA40321B8CC0383D233F000000007E140BE91500F0200138820419B5CCABF3E29603E000000009B8CC5BDD1A00A13007B2E66415C449EC02603A3F00000000286E6CBBC1800F1200B85AAE413C91F041C174F33E0B0AC3A00003A5B19BDE1A00F1B00D69E97419263C7C04727E3F00000000CC65E33B121E00F33004F859D41DA2695C07C2F203F000000009D95C3BD91600F1100D4303541EF6C72C0749DD3F00000000BF9FBBDF1B00F130032F1A3410EF8FC01CF8C3F05883390000F68B44BD71500E1300CD9DB941CF8AEF41FEF4FB3E80EA7DBB00009D749ABCA1600F1B004AA940543EA8BFD890383E00000000286E38BED1B00E1200446DA7407F295BFB3CA63D00000000941311BE101E00D13009AA81C415CE68ABF89312E3E0000000044AECBEC1800E1300F99DB1408654940AFFE82BE0000000072A3D0BD81500E03008911B41C233A5BDC34CBE3C00000000417AB6BDA1600F120065E4A740465CA43E975BFCBC000000008679BBEA1800E110092F1C41B2E1623FFFCDA6BD0000000014F49FBDE1A00F1200DF5E3341249140565F77BE00000000C61785BD1A2600F120025D6A940A0ED843FC5529BE00000000E6AF16BEB1900D13003693D640883DEEC19E811FBF000000008A3EAFBD91500F1B00307FF5409CD1A840918447BF0000601193D6C4546BD81400F0530052A03441409EF3C1DE9E2BF00000000C341A3BDD1900F1A0097654741E6AD9940ECE72DBF00000000788251BDA1600A1300319C5041FCDCA1406B7A3EBF0000E0752BBD466A3FBDC1800F053002675E4174D8AF4015424BBF0000B0DDC93D5E8EBDA1700A05200A093B941B3BF8E4053CB16BF0B7313B000065EE72BD61200F13005238DE428FC2314116F325BF00000000C4CC8A3E71000D02005238DE428FC23141DBFC9BF00000000D95EC53E6F00E83005238DE428FC2314175F8EDBE0D8BF390000442080BCC1900713005238DE428FC23141CB4A2CBF060443B0000AAF324BB91600F13005238DE428FC2314193DD53BF0000A0FADE3C23B68CBC91500B05300
2019-10-09_15:01:58:697369,5238DE428FC23141277D53BF0000B84CE03DE3E07CBB152200F053005238DE428FC231415B2C5BBF000000001516D83CB1600F02005238DE428FC2314136FD3DBF80E6893B0000D0D33ABDB1600D1B005238DE428FC23141FE941BF0000B0D55FBD7079D6BB121E00F053005238DE428FC23141A459BEBE044DBA00004BD5FDBCD1900B13005238DE428FC2314117591BE034F5BA0000B39175BDE1A00F11005238DE428FC23141E2DF2BF0000000075FCFABC142000F12005238DE428FC23141ABA05FBF0000000038B85BC61200B03005238DE428FC23141E18F65BF0E72BB0000782A18BD91600F13005238DE428FC231413FBF68BF0802EBA0000453A0BD61300712005238DE428FC231417A20873B58A7AEBB0000C15731BD122100F13005238DE428FC231419F78243F00000000E5B086BE6F00D01005238DE428FC2314129F6A8BBFE41A0BB0000E3778E3EA1400F13005238DE428FC2314182271CBF00000000B4598E3E71000503005238DE428FC23141641531BF0968FBA48487BEECB2723DC1600B113005238DE428FC2314132AA6BE8073F3B00006F3E90BD91200912005238DE428FC231415633BBF00B8396B286BEF39953D6F00F112005238DE428FC231414A27BBE80EE03A90B1D3BE87858ABE71000E111005238DE428FC2314107FA7BDA09A43C0000A14383BC71000911005238DE428FC2314112E1E3B000000003F75CBD71000F1B005238DE428FC231417FDAC9BC4816663B000073A563D61200E12005238DE428FC231419043103F00000000C4D0B1BE71000A01005238DE428FC231419E6DB33C00000000AE772BD6F00602005238DE428FC23141A7A5373D00000000AD3F633E6F00E01005238DE428FC23141912C78BD000000001D5241BB71000602005238DE428FC23141BBC83BD00000000DED36BB71000B01005238DE428FC23141A37DB1BC00000000A6E51ABD81100E03005238DE428FC2314133B0943DC048E2BA00001C535DBD71100B32005238DE428FC23141108415BD000000008592613D71100D31005238DE428FC2314133B6FA3B68AB59BA0000625D9DBC6F00E32005238DE428FC23141F255B43C405464BB0000CF81C73D6F00932005238DE428FC231414E43D3DB0C231BB000063A482BD6F0063300
2019-10-09_15:01:58:700401,040000003000120FFFF2001B01F007000E0384E441A6AC381560100000
2019-10-09_15:01:58:704368,0000A48B883EB861A3BC0000000011FB1EBDF1800C1200F7A39441C4EDC7C053EC783F00000000FFA19ABC131F00F12003CCF2641669F2FC0ACA0B63E00000000F5B319BE71400D1100E8ACAA407B38CFBFABDA4D3E00000000A9352BEB1900E1300AB19A74024D78FBE689E43C00000000E276BBE111F00E1300179A6141C4BC9CC05B42303F00000000B04D91BCA1600F1200579C2841D147F5BFE0E7B3E00000000F0A422BEC1800E130042DC1E41724CC6BF80A623E00000000BC23C2BDC1900F11006E47BD417126CAC0BCEF6C3F0A9E03B00006CA71BEC1700F1300EFAD9B41CC1F93C0D242F3F00000000EA9F80BD61300F1300CE661D417A98DBF2569273E000000005CFEAFBDC1800912004DDDB7412A17EE411DFB63F09CFD3A0000F06982BC71400F1A002B7FAC417EB6BDC012D13C3F07F93BB000093EB42BD61100B13003924374184D383C0905E193F0000000082F8BE91600E320042B21C413D1143BD8ADCE13C00000000BFC7E1BDA1600D1100BFDB35415645E404E6C90BE00000000F255D13C142000F1300B2B2041256E53FEBC054BE000000001C2C6BBD91500E3200779524415B5C2F40A7FA98BE0000000058FAAEBD91500E3300111E2B41C89FF7C16F2DC9BE000000004E839DBD71300D1B00EA3DE54081F4E9C116F72EBF00000000276FAEBD81600E1A006AF647412BE1994048782FBF000000004474BBD101C00F1300C52B38412C3AF1C1E477ABF00000000EC6F24BD111D00F1B0052F54D412982A14047C038BF00000000E7D2B1BCE1A00B13000DB59413F76AD409FEA42BF000005BFBB1A706BD81400B052004C736541ABBCA7403E4B44BF000050A6BBDD6D52F3B81300F052004792B04116129740FBC726BF0D5603B0000F5C812BDC1800F1300D526BB41654B9240563D1CBF0B613B0000116B33BD81500F13005238DE428FC2314116F325BF00000000C4CC8A3E71000D02005238DE428FC23141DBFC9BF00000000D95EC53E6F00E83005238DE428FC2314175F8EDBE0D8BF390000442080BCC1900713005238DE428FC23141CB4A2CBF060443B0000AAF324BB91600F13005238DE428FC2314193DD53BF0000A0FADE3C23B68CBC91500B05300
2019-10-09_15:01:58:707392,5238DE428FC23141277D53BF0000B84CE03DE3E07CBB152200F053005238DE428FC231415B2C5BBF000000001516D83CB1600F02005238DE428FC2314136FD3DBF80E6893B0000D0D33ABDB1600D1B005238DE428FC23141FE941BF0000B0D55FBD7079D6BB121E00F053005238DE428FC23141A459BEBE044DBA00004BD5FDBCD1900B13005238DE428FC2314117591BE034F5BA0000B39175BDE1A00F11005238DE428FC23141E2DF2BF0000000075FCFABC142000F12005238DE428FC23141ABA05FBF0000000038B85BC61200B03005238DE428FC23141E18F65BF0E72BB0000782A18BD91600F13005238DE428FC231413FBF68BF0802EBA0000453A0BD61300712005238DE428FC231417A20873B58A7AEBB0000C15731BD122100F13005238DE428FC231419F78243F00000000E5B086BE6F00D01005238DE428FC2314129F6A8BBFE41A0BB0000E3778E3EA1400F13005238DE428FC2314182271CBF00000000B4598E3E71000503005238DE428FC23141641531BF0968FBA48487BEECB2723DC1600B113005238DE428FC2314132AA6BE8073F3B00006F3E90BD91200912005238DE428FC231415633BBF00B8396B286BEF39953D6F00F112005238DE428FC231414A27BBE80EE03A90B1D3BE87858ABE71000E111005238DE428FC2314107FA7BDA09A43C0000A14383BC71000911005238DE428FC2314112E1E3B000000003F75CBD71000F1B005238DE428FC231417FDAC9BC4816663B000073A563D61200E12005238DE428FC231419043103F00000000C4D0B1BE71000A01005238DE428FC231419E6DB33C00000000AE772BD6F00602005238DE428FC23141A7A5373D00000000AD3F633E6F00E01005238DE428FC23141912C78BD000000001D5241BB71000602005238DE428FC23141BBC83BD00000000DED36BB71000B01005238DE428FC23141A37DB1BC00000000A6E51ABD81100E03005238DE428FC2314133B0943DC048E2BA00001C535DBD71100B32005238DE428FC23141108415BD000000008592613D71100D31005238DE428FC2314133B6FA3B68AB59BA0000625D9DBC6F00E32005238DE428FC23141F255B43C405464BB0000CF81C73D6F00932005238DE428FC231414E43D3DB0C231BB000063A482BD6F0063300
2019-10-09_15:01:58:711363,040000003000120FFFF2001901F00700040C8ADE24FA6AC381660100000
